project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Brothers 4 Recovery - Drug & Alcohol Awareness,"Central Coast NSW, Australia",Steve Morris,"20,000",AUD,"23,510","'Apr 01, 2018",133,Community;Education;Health;,"20,000","75,000",1.17550,0.31347,1005,92.63,91.81,23.76,68.94,29.56,26.17,41.39,7.46,4.48,0.00,2.29,0.10,1.00,1.09,2.99,5.17,16.32,4.98,1.99,6.77,0.50,9.75,5.37,1.29,1.49,3.98,1.09,5.17,3.58,1.29,0.30,0.30,0.30,12.64,1.29,0.20,0.30,2.69,6.27,2.19,1.69,0.90,0.90,0.90,0.60,2.09,0.80,0.30,0.60,4.18,0.10,3.78,0.20,0.80,14.93,6.27,4.38,3.68,1.09,0.40,2.29,7.76,0.40,15.82,2.99,8.76,4.48,3.58,1.79,0.30,0.70,0.00,0.50,0.10,0.00,0.10,0.00,0.00,0.00,7.46,3.28,2.09,0.10,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.60
BrumEarth,"Birmingham, United Kingdom",Rob Whitehouse,"11,000",GBP,90,"'Fundraising ended on Jul 06, 2017",3,Community;Education;Environment;,"11,000","15,100",0.00818,0.00596,1113,88.75,67.33,50.76,93.95,30.92,28.66,47.08,7.46,4.76,2.52,1.08,0.54,0.00,0.63,2.70,7.28,16.35,6.11,3.95,8.81,0.81,10.42,5.12,3.23,0.81,1.08,2.79,5.39,4.85,0.45,0.18,0.09,0.00,8.09,0.00,0.36,0.00,0.00,9.07,2.25,2.16,1.08,1.35,1.26,1.89,1.17,0.63,0.00,0.54,0.90,0.09,0.45,0.09,0.27,11.32,4.22,3.05,3.68,2.07,0.09,2.07,7.55,1.08,15.54,3.14,8.63,4.13,7.64,0.45,0.36,1.53,0.00,0.00,0.45,0.00,0.18,0.00,0.27,0.00,10.96,3.23,4.94,0.09,0.00,0.00,0.00,0.90,0.00,1.08,0.18,0.54
Bud & Bee Hive: A Sustainable Florists Journey,"Woodbridge, United Kingdom",Rebecca Gemmell,"5,000",GBP,240,"'Fundraising ended on Feb 15, 2020",8,Children & Youth;Community;Environment;,"5,000","10,000",0.04800,0.02400,427,81.93,56.52,67.08,83.88,26.69,22.48,49.88,12.41,9.60,6.56,1.17,0.70,0.00,1.17,2.81,7.03,16.39,5.62,3.28,9.13,0.70,10.30,5.62,3.28,1.64,1.87,1.64,4.68,3.75,0.47,0.00,0.47,0.00,8.90,0.47,1.41,0.47,0.00,11.24,1.41,5.15,0.94,1.17,1.17,1.87,0.70,0.47,0.00,0.23,0.23,0.00,0.00,0.23,0.00,10.77,4.68,2.81,3.28,1.17,0.00,0.70,9.37,0.70,14.75,3.75,7.96,2.81,4.68,0.47,0.47,1.17,0.00,0.00,0.94,0.00,0.23,0.00,0.70,0.00,11.01,3.75,3.28,0.00,0.23,0.00,0.00,0.23,0.00,1.64,0.47,1.41
Buffalo TransFriendly Bathrooms Kickoff,Buffalo,Buffalo Trans Friendly Bathroom Initiative,"1,000",USD,355,"'Fundraising ended on Mar 29, 2012",13,Human Rights;,"1,000","1,500",0.35500,0.23667,89,90.37,91.11,10.53,46.47,22.25,31.46,38.20,7.87,5.62,0.00,4.49,1.12,0.00,0.00,2.25,4.49,13.48,7.87,0.00,4.49,0.00,12.36,3.37,1.12,0.00,2.25,3.37,4.49,2.25,1.12,0.00,0.00,1.12,10.11,0.00,1.12,0.00,0.00,6.74,1.12,0.00,2.25,1.12,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.61,6.74,2.25,3.37,3.37,1.12,0.00,10.11,2.25,12.36,4.49,5.62,3.37,5.62,1.12,1.12,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.11,3.37,2.25,1.12,0.00,0.00,1.12,1.12,0.00,0.00,0.00,1.12
Build a Better Future for Refugee Children,"Cisarua, Indonesia",Refugee Learning Center (RLC),"2,635",USD,"2,765","'Jun 22, 2016",28,Community;Education;Human Rights;,"2,635","7,600",1.04934,0.36382,678,66.71,96.37,39.92,59.28,18.32,22.27,55.16,13.72,9.88,0.00,5.60,0.59,0.00,3.69,3.83,7.23,14.90,9.00,4.42,7.82,1.62,15.19,4.42,2.65,1.92,1.92,2.65,4.28,2.95,1.18,0.29,0.15,0.15,16.96,0.15,0.29,0.44,0.00,11.80,2.36,2.95,0.88,2.06,1.03,3.54,0.88,0.15,0.15,0.59,0.44,0.29,0.15,0.00,0.00,15.34,9.00,2.51,3.54,0.88,0.44,3.69,11.50,0.59,14.45,2.21,6.05,6.19,4.72,0.88,0.74,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.03,5.31,2.65,0.00,0.00,0.00,0.15,0.15,0.44,1.18,0.00,0.15
Build a Center to Defeat Poverty Among Youth,"Lomé, Togo",The Youth Center for Development and Peace,"65,000",USD,50,"'Fundraising ended on Nov 06, 2016",3,Children & Youth;Education;Human Rights;,"65,000","195,000",0.00077,0.00026,2051,79.58,94.27,26.38,60.90,21.14,23.01,49.78,12.29,8.43,0.49,3.71,0.78,0.44,3.02,3.80,6.68,14.82,7.36,2.97,6.78,1.02,13.70,4.58,1.71,1.66,1.17,2.44,4.53,3.17,1.32,0.15,0.10,0.24,14.68,0.24,0.20,0.15,0.39,12.29,2.54,3.07,1.80,3.22,1.22,1.85,0.88,0.59,0.00,0.20,1.22,0.24,0.88,0.00,0.10,13.12,6.68,3.32,2.78,1.85,0.68,0.73,9.90,1.61,14.58,2.05,8.43,4.34,5.75,1.17,0.20,1.12,0.15,0.20,0.44,0.00,0.20,0.10,0.15,0.00,17.26,4.97,2.44,0.39,0.00,0.20,0.15,7.75,0.10,0.34,0.49,0.44
Build a Community of Economic Success in Africa,Accra,Africa Start-Up,"6,000",USD,"6,254","'Sep 30, 2013",70,Economic Development;,"6,000","24,000",1.04233,0.26058,582,86.62,89.81,16.35,94.32,18.77,30.07,45.02,9.79,5.33,0.00,2.75,0.17,0.00,2.41,4.47,6.01,15.29,6.19,2.92,6.36,1.03,14.26,5.50,1.89,1.89,1.37,1.89,5.84,5.15,0.69,0.00,0.00,0.17,13.23,0.86,0.17,0.00,0.00,9.97,1.72,2.75,1.55,1.03,1.20,2.41,0.34,0.00,0.00,0.17,0.52,0.00,0.52,0.00,0.00,18.38,6.19,4.64,5.33,4.12,0.86,3.09,9.45,0.69,12.54,2.58,6.36,3.61,12.89,1.20,0.69,5.84,0.00,0.00,0.52,0.00,0.17,0.00,0.34,0.00,12.89,6.19,4.47,0.00,0.00,0.00,0.17,0.86,0.34,0.52,0.00,0.34
Build a Meditation Center and School for Poor Kids,Phnom Penh,Venerable Nanda,"15,000",USD,"2,650","'Fundraising ended on Dec 31, 2014",23,Community;,"15,000","20,000",0.17667,0.13250,328,63.00,56.06,93.05,36.50,19.29,17.68,52.44,17.38,12.20,7.93,2.13,0.30,1.52,0.30,5.18,3.96,15.85,3.66,7.32,5.79,1.52,10.06,6.40,3.66,0.61,1.52,5.79,5.49,3.05,2.44,0.00,0.30,0.91,11.28,0.00,0.91,1.52,0.61,10.98,2.13,1.52,0.00,2.13,2.74,2.74,2.13,0.91,0.00,0.30,3.05,0.61,2.44,0.00,0.30,10.98,4.88,1.83,4.88,0.91,0.00,5.49,7.01,0.30,18.60,1.52,9.76,7.62,1.52,1.22,0.30,0.91,1.52,0.91,0.61,0.00,0.00,0.30,0.30,0.00,10.06,6.10,0.91,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,1.83
Build An App To Ensure Women Get Home Safe,Sydney,Women Helping Women Get Home Safe - App,"3,000",AUD,800,"'Fundraising ended on Mar 29, 2015",14,Community;,"3,000","10,000",0.26667,0.08000,423,77.49,93.47,64.12,57.05,30.21,14.42,49.41,12.29,8.27,1.42,0.71,4.73,0.24,1.18,4.02,6.15,15.37,8.04,3.55,6.38,1.18,16.55,6.15,2.60,1.18,2.60,2.13,5.91,3.78,2.13,0.24,0.47,1.18,16.31,0.47,1.18,3.07,0.47,10.87,2.60,1.89,1.18,2.36,0.95,4.02,1.89,1.18,0.00,0.71,0.24,0.00,0.00,0.24,0.00,11.35,4.96,2.13,2.13,2.13,1.42,0.71,15.13,1.65,16.55,4.49,9.69,2.36,0.95,1.65,1.42,0.47,0.00,0.00,1.18,0.00,0.95,0.00,0.24,0.00,11.58,2.36,2.13,0.24,0.00,0.24,0.47,2.13,0.00,1.18,1.65,1.18
Build Lacrosse Skills with Orlando Minority Girls,Orlando,Orlando First Stick Lacrosse,250,USD,"1,225","'Jun 24, 2013",17,Children & Youth;,250,900,4.90000,1.36111,307,94.80,82.76,14.52,79.27,16.16,28.01,41.37,6.19,4.23,2.28,0.33,0.00,0.00,1.63,1.95,6.84,15.64,6.84,1.63,5.21,0.33,11.40,1.63,0.65,0.33,3.26,0.98,4.23,3.58,0.65,0.65,0.00,0.00,12.70,0.33,0.65,3.26,0.00,6.19,1.30,1.63,1.30,0.98,0.65,0.98,0.98,0.65,0.00,0.00,1.63,0.00,1.30,0.33,0.98,13.03,4.56,5.86,4.56,1.95,0.65,0.65,7.49,3.58,11.40,0.65,6.19,4.56,10.42,5.54,0.65,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.29,6.19,4.89,0.33,0.33,0.00,0.00,1.63,0.65,0.00,1.95,0.33
Build the Virtual Chain that Hugs the World,Sydney,more good deeds,"5,000",AUD,215,"'Fundraising ended on Jul 31, 2014",7,Community;,"5,000","15,000",0.04300,0.01433,193,90.58,96.48,20.53,99.00,12.06,16.58,50.78,12.95,7.25,0.00,6.22,1.04,0.00,0.00,5.70,8.81,17.62,6.74,3.11,5.70,0.00,13.99,5.70,4.15,1.55,1.04,4.66,7.77,7.77,0.00,0.00,0.00,0.00,12.95,0.00,0.00,0.00,0.00,11.92,1.55,3.11,1.55,3.11,0.52,2.07,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,17.62,10.88,2.59,4.15,1.04,0.00,2.07,10.88,1.04,13.99,1.04,8.29,4.66,1.04,1.04,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.51,7.25,3.11,0.00,0.00,0.52,1.55,0.00,0.00,0.52,1.04,0.52
Building a Better E-book,Chevy,Enhanced Classics,"6,000",USD,310,"'Fundraising ended on Oct 18, 2014",3,Arts & Culture;Education;,"6,000","15,000",0.05167,0.02067,294,94.07,69.51,33.04,64.46,24.50,27.21,48.64,5.78,3.74,1.02,2.38,0.00,0.00,0.34,2.04,10.88,15.99,7.14,4.08,8.16,0.34,12.93,4.42,1.36,1.02,1.70,0.34,2.38,2.04,0.00,0.00,0.00,0.00,5.44,0.34,0.00,0.34,0.00,5.44,0.68,3.06,0.00,1.02,0.34,1.36,4.42,2.38,1.36,0.00,1.02,0.00,1.02,0.00,0.00,9.52,3.74,3.40,2.38,0.68,0.00,3.06,6.80,1.70,15.31,2.04,6.12,7.82,6.80,3.40,0.68,0.00,0.00,0.00,1.02,0.00,1.02,0.00,0.00,0.00,11.56,4.08,4.76,0.34,0.34,0.00,0.00,1.02,0.00,1.02,0.00,0.00
Building a Library for Displaced Children,Tak,Library for Displaced Children in Thailand,"3,000",USD,900,"'Fundraising ended on Aug 20, 2014",17,Children & Youth;,"3,000","7,000",0.30000,0.12857,313,86.42,69.54,18.65,62.13,15.65,21.73,48.24,10.54,8.31,2.88,0.64,0.32,0.00,4.47,2.24,8.63,13.42,7.99,2.56,4.79,1.28,12.46,3.51,1.28,0.96,2.88,1.28,3.19,2.56,0.64,0.00,0.32,0.00,10.22,0.00,0.00,0.00,0.00,8.63,1.60,1.60,1.60,2.24,0.64,1.92,2.24,1.60,0.00,0.64,1.92,0.00,1.92,0.00,0.00,10.22,2.88,1.92,5.43,1.60,0.32,2.88,11.82,1.28,10.86,0.96,5.75,4.79,8.31,2.56,0.00,2.88,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,13.10,7.03,2.56,0.32,0.00,0.00,0.00,0.32,0.64,0.32,0.00,1.92
Building a prayerful world with Catholicer Beads,"Mountain View, United States",Catholicer,"2,500",USD,60,"'Fundraising ended on Feb 01, 2019",5,Community;Human Rights;Media;,"2,500","10,000",0.02400,0.00600,187,53.57,95.12,5.19,45.41,14.38,25.13,52.41,15.51,8.02,0.00,3.74,1.60,0.53,2.14,7.49,6.42,11.23,11.76,4.81,4.28,0.53,17.11,5.35,4.28,3.74,1.60,2.14,1.07,1.07,0.00,0.00,0.00,0.00,14.97,0.00,0.00,0.53,0.00,11.76,1.60,3.21,2.14,1.07,1.60,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.63,8.02,0.00,0.53,1.60,0.00,2.67,13.37,5.35,9.09,0.53,5.35,2.67,2.14,0.00,0.00,0.00,11.23,0.00,1.07,0.00,1.07,0.00,0.00,0.00,16.04,6.95,5.35,0.53,0.00,1.07,0.00,0.53,0.00,0.00,0.00,1.60
Building an international support network for isolated aid workers,Sydney,whydev,"3,000",USD,"4,745","'Jun 11, 2012",73,Human Rights;,"3,000","10,000",1.58167,0.47450,308,72.77,89.71,33.87,62.70,23.69,28.57,52.92,14.61,6.82,0.97,4.55,0.00,0.00,1.30,7.79,5.84,15.58,8.77,3.57,5.52,0.97,14.29,3.25,2.27,0.97,1.30,2.60,6.49,4.22,2.27,0.97,0.00,0.97,13.64,0.00,0.00,0.00,0.32,11.36,3.25,1.95,1.62,1.95,0.65,3.57,0.97,0.00,0.00,0.32,0.32,0.00,0.00,0.00,0.32,12.34,4.87,3.57,4.55,0.32,0.32,1.30,12.66,0.65,12.34,0.65,9.09,2.60,8.12,1.30,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.96,4.22,6.49,0.32,0.00,0.00,0.00,0.97,0.65,0.65,0.65,0.00
Building Better Biliterates 4 Life,San Pedro Sula ,Bilingual Education for ALL,"1,700",USD,60,"'Fundraising ended on Aug 09, 2013",4,Education;,"1,700","5,000",0.03529,0.01200,132,83.58,97.51,4.18,89.31,18.86,24.24,43.18,12.12,6.06,0.00,4.55,1.52,0.00,0.00,6.06,4.55,14.39,6.82,0.76,5.30,0.76,9.85,4.55,3.03,0.76,3.03,2.27,3.79,3.79,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,9.85,1.52,1.52,1.52,2.27,1.52,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,9.85,1.52,7.58,3.03,0.00,0.00,16.67,0.76,8.33,1.52,3.03,3.79,6.82,0.76,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,3.79,4.55,0.00,0.00,0.76,0.76,2.27,0.00,0.00,0.00,0.00
Building Dormitories for Rural Cambodian Students,Phnom Penh,Education for Development Fund Cambodia,"8,116",USD,"1,090","'Fundraising ended on Jan 31, 2015",8,Children & Youth;Education;,"8,116","30,283",0.13430,0.03599,1435,85.46,74.84,35.34,38.13,22.08,22.23,46.55,8.92,5.44,0.84,2.16,0.56,0.42,1.46,3.48,5.99,15.82,6.76,4.39,6.76,0.70,11.15,6.20,2.65,1.11,3.48,2.23,5.57,3.14,2.44,0.21,0.07,0.91,7.74,0.14,0.21,0.42,0.14,8.43,1.05,1.53,1.95,1.81,1.11,2.23,1.32,0.49,0.21,0.49,2.16,0.35,0.84,0.00,0.98,11.08,3.00,1.05,5.51,0.70,1.25,1.46,8.43,0.49,17.00,1.60,11.71,3.97,9.06,0.49,2.30,1.46,0.00,0.14,0.21,0.00,0.07,0.07,0.07,0.00,14.84,4.60,6.34,0.28,0.07,0.07,0.14,0.63,0.98,0.56,0.42,0.77
Building Hope and Community For Youth Thru Soccer,Aurora,Niyakko Rush Soccer Club,"2,500",USD,"5,001","'Dec 07, 2014",23,Children & Youth;Community;,"2,500","5,000",2.00040,1.00020,362,50.96,99.00,27.45,98.72,27.85,23.76,46.41,15.19,11.88,0.00,8.56,1.93,0.00,1.38,3.31,4.14,11.33,6.91,4.70,7.18,1.66,14.36,4.14,1.66,1.66,0.55,2.49,7.73,6.63,0.83,0.28,0.00,0.28,17.13,0.83,0.28,0.00,0.00,12.98,3.04,2.49,2.49,2.21,2.76,2.21,2.21,1.38,0.00,0.55,3.04,0.28,2.49,0.00,0.28,22.65,13.26,4.42,5.25,3.59,0.83,2.21,11.88,1.10,14.64,2.49,8.01,4.42,4.14,5.25,1.10,0.55,0.00,0.00,0.28,0.00,0.28,0.00,0.00,0.00,28.45,2.76,1.93,4.42,0.28,1.38,0.55,0.83,0.00,2.76,0.55,12.98
Building Sustainable Earthships For a Better World,PUTTAPARTHY,Self-sustaining Earthship Community,"5,000",GBP,"1,545","'Fundraising ended on Jul 30, 2013",15,Community;,"5,000","20,000",0.30900,0.07725,351,83.55,60.13,28.90,58.10,14.04,19.66,46.44,8.55,4.27,2.28,0.00,1.42,0.00,0.57,4.27,6.27,14.53,7.41,5.98,4.56,1.14,11.40,3.70,0.85,1.14,1.71,4.56,3.42,2.56,0.85,0.57,0.00,0.57,6.27,0.00,0.00,0.00,0.00,9.40,1.14,1.71,0.85,2.28,2.56,1.71,1.42,0.57,0.00,0.85,3.13,0.28,0.85,0.00,1.99,4.27,0.28,1.42,1.42,1.42,0.28,0.85,9.97,0.28,13.39,0.85,7.69,4.84,2.85,0.57,1.99,1.71,0.00,0.28,0.57,0.00,0.57,0.00,0.00,0.00,14.25,6.27,3.42,0.00,0.00,0.85,0.57,1.99,0.00,0.00,0.00,1.14
Building the Platform - Tides of Change,Dunsborough,Tides of Change,"10,000",AUD,"1,005","'Fundraising ended on Aug 31, 2015",8,Arts & Culture;,"10,000","30,000",0.10050,0.03350,829,66.96,69.81,69.17,85.06,18.84,19.06,51.39,13.15,6.88,3.26,1.33,1.81,0.00,0.48,6.27,5.43,14.48,8.81,4.46,5.79,2.05,17.37,3.50,1.69,3.02,1.69,2.05,3.50,3.38,0.00,0.00,0.00,0.00,10.62,0.12,0.24,0.00,0.00,13.75,2.41,3.02,2.65,2.29,0.97,3.26,1.81,0.72,0.36,0.60,0.36,0.36,0.00,0.00,0.00,10.01,4.58,1.81,3.02,1.93,0.12,3.50,11.46,1.57,17.73,4.46,9.05,4.95,3.02,3.38,0.12,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,5.19,3.26,0.48,0.00,0.36,0.36,0.24,0.24,1.57,0.00,5.67
Building Tomorrow's Leaders Today,Los Angeles,Youth Leadership America,"7,500",USD,330,"'Fundraising ended on Feb 24, 2013",6,Education;,"7,500","30,000",0.04400,0.01100,304,99.00,72.30,31.41,87.68,27.64,27.30,36.84,2.96,0.33,0.00,0.00,0.00,0.00,0.33,2.63,8.55,16.45,4.61,0.00,4.61,0.00,7.57,3.95,0.66,0.66,4.93,1.32,4.28,3.95,0.33,0.00,0.00,0.00,6.58,0.00,0.00,0.00,0.00,5.59,1.32,1.97,0.99,0.66,1.32,0.66,0.99,0.33,0.33,0.33,0.66,0.33,0.00,0.00,0.33,12.17,1.64,8.22,5.26,1.97,0.33,1.32,6.25,1.32,17.11,1.32,9.21,6.25,14.14,0.66,0.33,1.64,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.47,3.29,4.28,0.33,0.00,0.00,0.00,5.59,0.66,0.00,0.00,0.33
Building Wells to Change Lives,Ottawa,thisvillage,800,CAD,"1,435","'Dec 04, 2013",17,Economic Development;,800,"2,400",1.79375,0.59792,103,90.74,65.12,14.16,90.17,25.75,26.21,44.66,9.71,1.94,0.00,0.97,0.00,0.00,0.97,7.77,4.85,16.50,8.74,3.88,0.97,0.00,11.65,9.71,2.91,0.97,1.94,2.91,3.88,3.88,0.00,0.00,0.00,0.00,6.80,0.97,0.00,0.97,0.00,11.65,0.00,3.88,1.94,0.97,0.97,3.88,0.00,0.00,0.00,0.00,5.83,0.00,1.94,0.00,3.88,10.68,2.91,0.97,2.91,3.88,0.00,0.00,12.62,1.94,12.62,1.94,8.74,1.94,2.91,0.97,0.97,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.53,3.88,3.88,0.97,0.00,0.00,0.00,0.97,0.00,0.00,5.83,0.00
Build-Ur-Impact: Life Skills for Californian Youth,Sunnyvale,Build-Ur-Impact,"2,500",USD,690,"'Fundraising ended on Jun 22, 2014",10,Children & Youth;,"2,500","5,000",0.27600,0.13800,574,83.00,75.17,67.32,89.72,15.94,20.91,47.39,11.32,7.67,3.66,0.87,2.44,0.00,0.70,3.66,6.45,15.68,5.57,5.05,6.27,1.05,14.81,4.70,1.92,2.09,1.57,1.05,7.14,5.23,1.39,0.17,0.52,0.35,9.58,0.00,0.35,0.00,0.00,10.63,3.31,1.92,1.92,1.57,0.52,1.39,0.87,0.17,0.17,0.35,1.92,0.17,1.05,0.17,0.52,11.85,3.14,4.18,3.14,1.92,1.05,2.79,9.93,1.92,17.25,3.14,7.67,6.97,9.58,2.61,0.35,2.26,0.00,0.00,1.05,0.00,1.05,0.00,0.00,0.00,24.56,7.14,4.18,1.39,0.17,0.17,0.17,4.36,4.18,0.87,0.35,1.57
Busting media domination - support our indy App,Adelaide,New Internationalist Cooperative,"7,000",AUD,"9,309","'Nov 19, 2013",103,Media;,"7,000","28,000",1.32986,0.33246,188,90.51,90.81,25.35,95.93,20.89,27.66,43.62,11.70,6.91,0.00,5.32,1.06,0.00,0.53,4.79,7.98,13.83,4.26,3.19,4.79,0.00,11.70,7.98,2.66,1.06,0.00,3.72,5.85,5.32,0.53,0.00,0.53,0.00,9.57,0.00,0.00,0.00,0.00,12.23,1.60,3.19,2.13,1.60,2.13,2.66,0.53,0.00,0.00,0.53,0.53,0.53,0.00,0.00,0.00,15.43,6.38,3.19,5.32,3.19,0.00,0.53,10.64,1.06,14.89,3.19,7.45,4.26,4.26,1.60,0.00,2.13,0.00,0.00,0.53,0.00,0.53,0.00,0.00,0.00,16.49,6.38,3.72,0.00,0.00,0.00,0.00,2.66,0.00,2.13,0.00,1.60
Butterfly Young Social Entrepreneurs Uganda,Kampala,Butterfly Project Uganda,"7,500",USD,"1,074","'Fundraising ended on Jan 14, 2012",14,Education;,"7,500","30,000",0.14320,0.03580,347,60.67,97.95,30.07,88.93,28.92,23.05,47.55,13.26,9.22,0.00,5.19,0.00,0.00,4.03,4.03,4.90,12.97,6.05,5.48,9.51,0.29,11.82,5.48,2.02,2.59,1.15,1.73,6.05,4.90,1.15,0.00,0.00,0.29,17.29,0.00,0.00,0.29,0.00,11.82,4.32,3.17,1.44,0.86,0.58,1.73,1.44,0.00,0.58,0.00,1.15,0.00,0.58,0.00,0.58,16.71,8.07,3.46,4.03,1.73,0.86,0.86,10.09,0.86,13.26,0.86,4.61,8.07,6.05,0.86,0.00,0.58,0.00,0.00,0.29,0.00,0.00,0.00,0.29,0.00,17.58,3.46,7.20,0.29,0.00,0.00,0.00,6.05,0.58,0.00,0.00,0.00
BuzzyTV: empower and educate through live games,"Sydney, Australia",Laura Loonstein,"6,000",AUD,"2,130","'Fundraising ended on Jul 16, 2017",22,Children & Youth;Community;Education;,"6,000","12,000",0.35500,0.17750,697,92.98,93.75,20.56,99.00,26.81,30.85,42.47,8.90,5.45,0.43,3.01,0.86,0.00,1.15,3.44,7.46,14.49,4.59,2.01,6.31,0.00,12.20,4.16,1.43,0.43,1.29,1.43,7.17,6.74,0.29,0.14,0.00,0.00,12.91,0.00,0.14,0.00,0.00,10.90,3.73,3.73,0.57,1.15,1.43,1.00,2.58,0.86,0.00,0.14,1.72,0.14,1.58,0.00,0.00,16.93,9.18,4.30,4.02,1.58,0.14,1.00,8.18,1.29,11.48,2.30,7.32,2.01,9.18,4.59,0.00,0.29,0.00,0.14,0.29,0.00,0.14,0.00,0.14,0.00,10.90,3.16,3.87,0.43,0.43,0.00,0.43,1.00,0.29,0.29,0.57,0.43
Byron Bay High trip to Mauritius carbon offset ,"Byron Bay , Australia",Catherine Coorey,"2,500",AUD,450,"'Fundraising ended on Dec 13, 2018",10,Environment;Social Enterprise;,"2,500","5,000",0.18000,0.09000,165,97.09,74.76,19.12,71.30,27.50,26.06,47.27,7.27,3.03,0.00,1.82,0.00,0.00,1.21,4.24,10.91,16.97,6.67,1.82,5.45,0.61,10.91,5.45,1.82,0.61,0.61,1.82,3.64,3.03,0.61,0.00,0.00,0.61,7.27,0.61,0.61,0.61,0.61,4.85,0.61,0.61,0.61,1.21,0.61,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,3.64,3.03,4.85,3.03,0.00,3.03,8.48,2.42,13.94,3.03,8.48,2.42,10.91,2.42,0.61,1.82,0.00,0.00,0.61,0.00,0.00,0.00,0.61,0.00,11.52,3.64,2.42,0.00,0.00,0.00,0.00,0.61,0.61,3.64,0.00,0.61
CA Bikes Academy,Berkeley,CA Bikes Academy,"25,000",USD,"1,230","'Fundraising ended on Jul 27, 2012",13,Economic Development;,"25,000","70,000",0.04920,0.01757,80,91.53,77.33,7.84,25.77,26.67,22.50,40.00,7.50,2.50,0.00,2.50,0.00,0.00,0.00,5.00,2.50,17.50,6.25,2.50,3.75,1.25,16.25,3.75,1.25,1.25,0.00,0.00,2.50,1.25,1.25,1.25,0.00,0.00,7.50,1.25,0.00,1.25,0.00,12.50,2.50,5.00,2.50,1.25,0.00,1.25,5.00,1.25,0.00,3.75,1.25,1.25,0.00,0.00,0.00,13.75,3.75,7.50,1.25,1.25,1.25,3.75,7.50,3.75,11.25,1.25,7.50,2.50,17.50,5.00,0.00,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,3.75,1.25,1.25,0.00,0.00,0.00,1.25,0.00,0.00,0.00,1.25
Cairns Cares Cyclone Relief,"Cairns, Australia",Drew Brauer,"2,000",AUD,615,"'Fundraising ended on Apr 14, 2017",20,Community;Disaster Response;,"2,000","8,000",0.30750,0.07688,65,60.10,85.93,11.67,54.74,21.67,20.00,50.77,12.31,6.15,1.54,3.08,0.00,0.00,1.54,6.15,4.62,12.31,12.31,1.54,7.69,0.00,15.38,15.38,3.08,1.54,0.00,1.54,7.69,4.62,3.08,0.00,1.54,0.00,9.23,0.00,1.54,0.00,1.54,9.23,0.00,3.08,3.08,1.54,1.54,0.00,1.54,0.00,0.00,1.54,0.00,0.00,0.00,0.00,0.00,10.77,6.15,1.54,7.69,1.54,0.00,3.08,10.77,0.00,15.38,0.00,12.31,3.08,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
